match_id,venue,team_1,team_2,match_type,toss_winner,toss_decision,match_winner
345470,Shere Bangla National Stadium,Bangladesh,India,ODI,Bangladesh,bat,India
345471,Shere Bangla National Stadium,India,Pakistan,ODI,Pakistan,bat,Pakistan
350043,Kennington Oval,England,Australia,ODI,England,field,Australia
350044,Lord's,England,Australia,ODI,England,field,Australia
350045,The Rose Bowl,England,Australia,ODI,England,bat,Australia
350046,Lord's,England,Australia,ODI,England,bat,Australia
350047,Trent Bridge,England,Australia,ODI,England,bat,Australia
350048,Trent Bridge,England,Australia,ODI,Australia,bat,Australia
350049,Riverside Ground,England,Australia,ODI,England,field,England
350348,Senwes Park,South Africa,Bangladesh,ODI,South Africa,bat,South Africa
350477,Kingsmead,South Africa,Australia,ODI,Australia,bat,Australia
350478,SuperSport Park,South Africa,Australia,ODI,Australia,bat,South Africa
350479,Newlands,South Africa,Australia,ODI,South Africa,bat,South Africa
350480,St George's Park,South Africa,Australia,ODI,Australia,field,South Africa
350481,New Wanderers Stadium,South Africa,Australia,ODI,South Africa,field,Australia
351684,Melbourne Cricket Ground,Australia,South Africa,ODI,Australia,bat,South Africa
351685,Bellerive Oval,Australia,South Africa,ODI,South Africa,field,Australia
351686,Sydney Cricket Ground,Australia,South Africa,ODI,Australia,bat,South Africa
351687,Adelaide Oval,Australia,South Africa,ODI,Australia,bat,South Africa
351688,Western Australia Cricket Association Ground,Australia,South Africa,ODI,South Africa,bat,South Africa
351689,Western Australia Cricket Association Ground,Australia,New Zealand,ODI,Australia,bat,New Zealand
351690,Melbourne Cricket Ground,Australia,New Zealand,ODI,New Zealand,field,New Zealand
351691,Sydney Cricket Ground,Australia,New Zealand,ODI,New Zealand,field,Australia
351692,Adelaide Oval,Australia,New Zealand,ODI,New Zealand,bat,Australia
351693,"Brisbane Cricket Ground, Woolloongabba",Australia,New Zealand,ODI,New Zealand,field,Unknown
352665,Providence Stadium,West Indies,England,ODI,England,bat,England
352666,Providence Stadium,West Indies,England,ODI,West Indies,bat,West Indies
352667,"Kensington Oval, Bridgetown",West Indies,England,ODI,West Indies,field,West Indies
352668,"Kensington Oval, Bridgetown",West Indies,England,ODI,England,field,England
352669,"Beausejour Stadium, Gros Islet",West Indies,England,ODI,West Indies,field,England
357962,North Sydney Oval,England,India,ODI,England,field,England
360800,OUTsurance Oval,South Africa,Kenya,ODI,South Africa,bat,South Africa
361043,Madhavrao Scindia Cricket Ground,India,England,ODI,England,field,India
361044,Maharani Usharaje Trust Cricket Ground,India,England,ODI,India,bat,India
361045,Green Park,India,England,ODI,England,bat,India
361046,M Chinnaswamy Stadium,India,England,ODI,England,field,India
